Sl,Name,Packing,Expiry,Qty,BillPrice,TValue
318,VIZAGRA GO PRO TABLETS,4S,Aug-25,1,38.08,38.08
319,LYCOSURE RED SOFTGELS,10S,Jan-25,2,18.48,36.96
320,ESOPERA DSR CAP,10S,Aug-25,1,24.64,24.64
321,OFFCIP D EYE EAR DROP,10ML,Aug-25,2,12.32,24.64
322,TELNO 40MG TAB,10S,Aug-25,1,14.41,14.41
323,DICYNIL ING,2ML,Aug-25,6,24,55.25
324,ELCIPRO NF OINT,15GM,Aug-25,24,99,16358.16
325,COD CV SYP,30ML,Jul-25,44,165,14686.89
326,MONTE LC KID TABS,10S,Jul-25,15,92,7994.6
327,CILADER 5 TAB,15S,Dec-24,9.75,97.5,2005.56
328,CTIN PLUS SYP,60ML,Jan-25,14,82,1987.44
329,LACTOLAC SYP 100ML,100ML,Jun-25,52,137.7,1984.89
330,ALCO-QUIT 250 TAB,10S,May-25,22.94,66,1765.76
331,TRAXANEL MF TABS,10s,Jan-25,65,499.6,1681.7
332,QUT 50MG TAB,10S,May-25,9.25,95,1654.16
333,DOMSTOP TABS,10S,Feb-25,2.7,25.7,1605.22
334,EL-BIOTIC CAPS,10S,Sep-25,25,115,1601.25
335,GLICADER 80 TAB,10S,Apr-25,16,60,1520.05
336,LIPIDER 10 TABS,15S,Nov-24,20,74,1426.88
337,DILTIAZEM 30 TABS,10S,Feb-25,7.7,29.7,1331.88
338,DOXICAP CAPS,10S,Nov-24,18,120,1311.71
339,DILTIAZEM 60 TABS,10S,May-25,8.9,60.08,1223.04
340,FERIC XT TAB 15S,15S,Nov-24,28,355,1054.87
341,CLOPIDER 75 TAB,10S,Jul-25,10.5,77.5,1028.52
342,THYRONEL 25 TAB,120T,Sep-25,62,143,849.3
343,RIMPACE 5 TAB,15s,Apr-25,10.7,146.1,839.82
344,CARVILOL 6.25 TAB,10S,Nov-24,7.7,48,833.9
345,ELVAS 2.5 TAB,10S,Nov-24,4,23,722.76
346,ALCO-QUIT 500 TABS,10S,Nov-24,27,125,637.56
347,BODYGROW SG,10S,Jan-25,8.5,160,609.38
348,CALAMYL LOTION,120ML,Sep-25,50,208,4531.41
349,ELDRAL 40 TABS,15S,Jun-25,28,51.4,4510
350,LIPIDER 40 TAB,10S,Nov-24,14.5,216,4402.93
351,ASCOTOR ELX 100 MLSYP,100ML,Sep-25,18,118,3708.21
352,ELDERVIT TABS,15S,Sep-25,21,230,2858.86
353,TELNI M TABS,10S,Aug-24,30,145,2822.4
354,METFOR 1000SR TAB,15S,Aug-25,17.5,68,2779.68
355,DECA-ELBOLIN 25 ING,1S,May-25,11.5,265,2690.64
356,ELDIGESIC COLD N FLU TABS,10S,Mar-25,12.4,78,2509.65
357,BISACODYL TAB,10S,Mar-25,4.43,12.38,2411.21
358,CILADER 5 TAB,15S,Dec-24,9.75,97.5,2005.56
359,CTIN PLUS SYP,60ML,Jan-25,14,82,1987.44
360,LACTOLAC SYP 100ML,100ML,Jun-25,52,137.7,1984.89
361,ALCO-QUIT 250 TAB,10S,May-25,22.94,66,1765.76
362,TRAXANEL MF TABS,10s,Jan-25,65,499.6,1681.7
363,QUT 50MG TAB,10S,May-25,9.25,95,1654.16
364,DOMSTOP TABS,10S,Feb-25,2.7,25.7,1605.22
365,EL-BIOTIC CAPS,10S,Sep-25,25,115,1601.25
366,GLICADER 80 TAB,10S,Apr-25,16,60,1520.05
367,LIPIDER 10 TABS,15S,Nov-24,20,74,1426.88
368,DILTIAZEM 30 TABS,10S,Feb-25,7.7,29.7,1331.88
369,LIPIDER 40 TAB,10S,Nov-24,14.5,216,4402.93
370,ASCOTOR ELX 100 MLSYP,15s,Sep-25,18,118,3708.21
371,BACIYES-SPORES SUSPENSION,5ML,Apr-25,1830,14.96,27376.8
372,VIZAGRA GO PRO TABLETS,4S,Aug-25,141,38.08,5369.28
373,MEDIFAIR CREAM,15GM,Feb-25,178,28,4984
374,MOXIBIN EYE DROP,5ML,Aug-25,359,13.59,4878.81
375,NUCACIUM SACHET,1 GM,Feb-25,800,5.32,4256
376,MEDICYES LEVETRON 500 TAB,10S,Aug-25,101,35.84,3619.84
377,FOAMING FACE WASH 150ML,150ML,Jun-25,15,165.2,2478
378,BABYLIVER DROP 30ML,30ML,Jul-25,108,20.16,2177.28
379,MOXIMIN D EYE DROPS,10ML,Aug-25,140,14.56,2038.4
380,EVEE 600 SG,10s,Jan-25,77,25.96,1998.92
381,NUTROVIT CAP,10S,Jun-25,80,24.5,1960
382,MEDICYES CALDIYES CCM TABLET,30S,Aug-25,26,61.36,1595.36
